strike,call_oi,call_gex,call_dex,call_vannex,call_charmex,put_oi,put_gex,put_dex,put_vannex,put_charmex,net_gex,net_dex,net_vannex,net_charmex,put_call_oi_ratio
5970.0,0.0,0.0,0.0,0.0,0.0,543.0,-4141263.0402398524,-28575.3778508974,812663.7334429241,78245621.10681595,-4141263.0402398524,-28575.3778508974,812663.7334429241,78245621.10681595,
5975.0,1388.0,0.0,919508387.109375,0.0,0.0,4740.0,-2138796705.2842424,-56558091.127272636,538634130.3244253,5568487172.082881,-2138796705.2842424,862950295.9821024,538634130.3244253,5568487172.082881,3.414985590778098
5980.0,1.0,0.0,662470.01953125,0.0,0.0,426.0,-4573877.014677008,-32576.492249160638,874952.3135584601,85016514.64469753,-4573877.014677008,629893.5272820893,874952.3135584601,85016514.64469753,426.0
5990.0,5.0,0.0,3312350.09765625,0.0,0.0,637.0,-6473597.965943964,-44868.628513798554,1245642.934328728,118373443.98833488,-6473597.965943964,3267481.4691424514,1245642.934328728,118373443.98833488,127.4
6000.0,43530.0,0.0,28837319950.195312,0.0,0.0,67201.0,-37434671096.20234,-894661742.1554502,9214587718.438084,105776291944.31137,-37434671096.20234,27942658208.039864,9214587718.438084,105776291944.31137,1.5437858947852057
6010.0,0.0,0.0,0.0,0.0,0.0,246.0,-3771375.058315571,-26785.735134612092,703600.085447468,66668936.67563622,-3771375.058315571,-26785.735134612092,703600.085447468,66668936.67563622,
6020.0,1.0,0.0,662470.01953125,0.0,0.0,372.0,-61876523.14050702,-1618262.8666337302,14625451.13286474,209161332.33002067,-61876523.14050702,-955792.8471024802,14625451.13286474,209161332.33002067,372.0
6025.0,1256.0,0.0,832062344.53125,0.0,0.0,13690.0,-1600440047.0893996,-35673591.15763944,374295368.93377936,6966810158.171392,-1600440047.0893996,796388753.3736106,374295368.93377936,6966810158.171392,10.89968152866242
6030.0,0.0,0.0,0.0,0.0,0.0,99.0,-10552483.698888611,-262295.3807400647,2437725.2257136507,44617684.86100152,-10552483.698888611,-262295.3807400647,2437725.2257136507,44617684.86100152,
6035.0,0.0,0.0,0.0,0.0,0.0,163.0,-3180942.671863115,-22330.453157385622,583528.1480381892,53832863.516375765,-3180942.671863115,-22330.453157385622,583528.1480381892,53832863.516375765,
6040.0,10.0,14110781.198886383,5037419.979752031,-414921.36877517967,-210201691.0238156,817.0,-34832547.825791165,-639328.8534668521,7362531.758850181,306708450.9908761,-20721766.626904782,4398091.126285179,6947610.390075001,96506759.96706048,81.7
6045.0,0.0,0.0,0.0,0.0,0.0,204.0,-4696374.576580016,-33188.761493253245,850318.2052932129,78063240.4510999,-4696374.576580016,-33188.761493253245,850318.2052932129,78063240.4510999,
