strike,call_oi,call_gex,call_dex,call_vannex,call_charmex,put_oi,put_gex,put_dex,put_vannex,put_charmex,net_gex,net_dex,net_vannex,net_charmex,put_call_oi_ratio
5920.0,0.0,0.0,0.0,0.0,0.0,633.0,-2209074.919755292,-13894.633595151743,458011.57182762254,115636.9036747085,-2209074.919755292,-13894.633595151743,458011.57182762254,115636.9036747085,
5925.0,35.0,10474880.933682598,22755547.30165697,-1918251.9238411249,-282373.36596257944,4634.0,-1129410736.6711795,-24586879.592978943,317231770.9163734,8978665.113033125,-1118935855.7374969,-1831332.2913219742,315313518.99253225,8696291.747070545,132.4
5930.0,195.0,29580453.6587998,127880712.80104868,-4224107.946854552,-1518132.3702728774,317.0,-1896201.6282243016,-12579.861386553657,378911.71536670096,97645.02247305422,27684252.0305755,127868132.93966213,-3845196.231487851,-1420487.3477998232,1.6256410256410256
5940.0,0.0,0.0,0.0,0.0,0.0,173.0,-930239.5358084139,-5969.392976840343,187582.82859023425,47127.469275190895,-930239.5358084139,-5969.392976840343,187582.82859023425,47127.469275190895,
5950.0,2.0,2436102.7988719926,1113175.6924818652,-293770.74640241376,-60972.7217873419,11933.0,-1542322517.4843862,-32275438.786413256,420967630.2123916,13969726.587686704,-1539886414.6855142,-31162263.09393139,420673859.4659892,13908753.865899362,
5960.0,0.0,0.0,0.0,0.0,0.0,514.0,-3467713.9256151677,-22096.26942067019,689588.9103579976,169875.16069058946,-3467713.9256151677,-22096.26942067019,689588.9103579976,169875.16069058946,
5970.0,0.0,0.0,0.0,0.0,0.0,543.0,-4868026.984671584,-31672.877863010235,948707.6632584714,234387.8815004567,-4868026.984671584,-31672.877863010235,948707.6632584714,234387.8815004567,
5975.0,1388.0,357098165.3998071,908097167.2147534,-47828512.32413494,-16773142.04877687,4740.0,-1946393273.459198,-41891495.30482805,526302813.2855003,14174933.470520388,-1589295108.059391,866205671.9099253,478474300.96136534,-2598208.5782564823,3.414985590778098
5980.0,1.0,277862.5496631106,653984.4531025046,-36342.39142558594,-13093.449525110575,426.0,-3992936.807577919,-25629.95538381941,776623.1422932001,188932.64842682955,-3715074.2579148086,628354.4977186852,740280.7508676142,175839.19890171898,
5990.0,5.0,890621.2641564233,3278276.217782227,-126210.48633569235,-41279.85806563985,637.0,-6246502.35629701,-39547.88903446899,1212485.6666028192,290376.85956421203,-5355881.092140586,3238728.3287477577,1086275.1802671268,249097.00149857218,
6000.0,43530.0,50994158429.28203,27190896020.042023,-10392572488.275578,-386980878.161549,67201.0,-33471647682.721085,-657206575.2600491,8852723416.727621,245921885.09029695,17522510746.560944,26533689444.781975,-1539849071.5479565,-141058993.07125202,1.5437858947852057
6010.0,0.0,0.0,0.0,0.0,0.0,246.0,-3217020.2033905145,-20393.646469799485,612147.2974519422,144202.10812985146,-3217020.2033905145,-20393.646469799485,612147.2974519422,144202.10812985146,
6020.0,1.0,148952.05673427082,656172.8910171402,-21882.971843807078,-6539.032689074279,372.0,-55981350.50631299,-1181055.1759496017,14421836.265953623,469784.24572326813,-55832398.44957872,-524882.2849324615,14399953.294109816,463245.21303419385,
6025.0,1256.0,280208153.62484413,822818592.7499121,-39217698.18124034,-11995213.397754924,13690.0,-1453560513.9177277,-26531483.742623735,363958110.0596624,16312708.224878509,-1173352360.2928836,796287109.0072885,324740411.8784221,4317494.827123584,10.89968152866242
6030.0,0.0,0.0,0.0,0.0,0.0,99.0,-9621170.31336241,-194534.12531105182,2410642.726507908,99944.59232076534,-9621170.31336241,-194534.12531105182,2410642.726507908,99944.59232076534,
6035.0,0.0,0.0,0.0,0.0,0.0,163.0,-2377147.9386353344,-14511.171838525308,450182.78093540337,101650.59236806093,-2377147.9386353344,-14511.171838525308,450182.78093540337,101650.59236806093,
6040.0,10.0,13823647.449755024,4824946.241431894,-338374.9403844715,-502986.8826713017,817.0,-29379611.094278112,-463944.79388077254,6737990.606591672,596064.5777510974,-15555963.644523088,4361001.447551121,6399615.6662072,93077.69507979567,81.7
6045.0,0.0,0.0,0.0,0.0,0.0,204.0,-3111602.005270627,-18701.516369303663,588109.8130731601,130496.13499184122,-3111602.005270627,-18701.516369303663,588109.8130731601,130496.13499184122,
6050.0,3305.0,734346176.4218378,2165815577.5799823,-103065472.30780059,-30175828.809712518,10192.0,-5474785676.003801,-94309690.07216471,1376878722.809697,43432156.87344201,-4740439499.581964,2071505887.5078175,1273813250.5018964,13256328.063729491,3.0838124054462934
6055.0,0.0,0.0,0.0,0.0,0.0,92.0,-1468794.2961658284,-8689.265710744847,277049.9986120357,60392.18941951269,-1468794.2961658284,-8689.265710744847,277049.9986120357,60392.18941951269,
6060.0,302.0,76268328.11794941,197812459.79698834,-10449623.823863862,-3095962.129693346,688.0,-49825404.00258587,-939489.6483006639,11851206.991527848,630008.8453229645,26442924.11536354,196872970.14868766,1401583.1676639859,-2465953.2843703814,2.2781456953642385
