Asset Class,Asset,Lookback,Date,%tile,1w_fwd(%),2w_fwd(%),4w_fwd(%)
Commodities,Aluminum,12w,2026-03-12,98.7,,,
Commodities,Aluminum,12w,2026-03-11,96.8,,,
Commodities,Aluminum,12w,2026-03-10,96.2,,,
Commodities,Aluminum,12w,2026-03-09,95.6,,,
Commodities,Aluminum,12w,2026-03-06,95.3,1.68,,
Commodities,Aluminum,12w,2024-11-07,96.8,-8.51,-3.16,-3.97
Commodities,Aluminum,12w,2024-11-05,96.3,-5.57,-1.59,0.32
Commodities,Aluminum,12w,2024-10-29,97.8,0.41,-5.18,-1.95
Commodities,Aluminum,12w,2024-10-28,97.0,-1.15,-3.4,-0.38
Commodities,Aluminum,12w,2024-10-25,97.3,-3.15,-2.56,-2.78
Commodities,Aluminum,12w,2024-10-24,96.1,-1.41,2.2,-1.03
Commodities,Aluminum,12w,2024-10-23,98.2,-1.89,-2.43,-1.49
Commodities,Aluminum,12w,2024-10-22,96.5,1.22,1.64,0.03
Commodities,Aluminum,12w,2024-06-04,96.0,-5.4,-7.04,-4.45
Commodities,Aluminum,12w,2024-06-03,95.7,-3.93,-6.77,-5.83
Commodities,Aluminum,12w,2024-05-31,95.8,-3.23,-5.82,-5.68
Commodities,Aluminum,12w,2024-05-30,97.8,-2.09,-6.46,-7.2
Commodities,Aluminum,12w,2024-05-29,98.5,-5.37,-7.65,-9.89
Commodities,Aluminum,12w,2024-05-28,97.6,-2.08,-7.36,-8.3
Commodities,Aluminum,12w,2024-05-24,96.7,0.52,-3.43,-6.45
Commodities,Aluminum,12w,2024-05-23,96.8,1.62,-1.67,-4.99
Commodities,Aluminum,12w,2024-05-22,97.2,3.12,0.96,-5.29
Commodities,Aluminum,12w,2024-05-21,98.5,1.98,-3.5,-7.89
Commodities,Aluminum,12w,2024-05-20,97.0,3.8,1.64,-5.51
Commodities,Aluminum,12w,2024-05-17,96.0,2.16,2.69,-4.26
Commodities,Aluminum,12w,2024-05-15,95.7,1.36,4.52,-2.23
Commodities,Aluminum,12w,2024-04-24,95.3,-2.42,-3.73,-1.26
Commodities,Aluminum,12w,2024-04-22,97.6,-3.56,-4.0,-3.88
Commodities,Aluminum,12w,2024-04-19,98.1,-4.67,-6.26,-5.47
Commodities,Aluminum,12w,2024-04-18,96.8,-2.9,-4.22,-2.79
Commodities,Aluminum,12w,2024-04-17,97.8,0.4,-2.04,-2.2
Commodities,Aluminum,12w,2024-04-16,96.2,2.24,1.81,-0.96
Commodities,Aluminum,12w,2024-04-15,96.0,5.53,1.77,-1.09
Commodities,Aluminum,12w,2023-01-27,95.7,-3.36,-7.95,-11.81
Commodities,Aluminum,12w,2023-01-26,96.7,-1.92,-6.36,-13.63
Commodities,Aluminum,12w,2023-01-23,96.3,-2.09,-5.08,-9.02
Commodities,Aluminum,12w,2023-01-20,96.4,1.15,-2.25,-10.16
Commodities,Aluminum,12w,2023-01-18,96.1,1.02,-1.33,-10.93
Commodities,Aluminum,12w,2023-01-17,96.8,1.4,0.41,-9.41
Commodities,Aluminum,12w,2023-01-13,95.7,1.86,-0.27,-8.19
Commodities,Aluminum,12w,2022-04-05,96.0,-5.86,-5.63,-13.76
Commodities,Aluminum,12w,2022-04-04,96.1,-6.73,-6.65,-15.73
Commodities,Aluminum,12w,2022-04-01,96.6,-3.63,-6.23,-12.02
Commodities,Aluminum,12w,2022-03-31,98.4,-4.21,-7.13,-12.86
Commodities,Aluminum,12w,2022-03-30,99.2,-4.18,-9.76,-15.64
Commodities,Aluminum,12w,2022-03-29,98.3,-0.03,-5.89,-10.64
Commodities,Aluminum,12w,2022-03-28,99.2,-4.02,-10.48,-15.21
Commodities,Aluminum,12w,2022-03-25,99.2,-2.94,-6.46,-14.48
Commodities,Aluminum,12w,2022-03-24,99.2,-2.6,-6.7,-10.87
Commodities,Aluminum,12w,2022-03-23,99.0,-0.54,-4.7,-8.64
Commodities,Aluminum,12w,2022-03-22,98.2,-0.83,-0.86,-6.44
Commodities,Aluminum,12w,2022-03-21,98.4,3.34,-0.81,-7.41
Commodities,Aluminum,12w,2022-03-18,98.4,6.38,3.25,-3.18
Commodities,Aluminum,12w,2022-03-17,99.2,8.36,5.54,-1.98
Commodities,Aluminum,12w,2022-03-16,97.9,10.31,9.72,-0.99
Commodities,Aluminum,12w,2022-03-15,98.2,7.98,7.08,0.78
Commodities,Aluminum,12w,2022-03-14,99.5,4.46,7.95,-3.36
Commodities,Aluminum,12w,2022-03-11,99.7,-2.59,3.63,-3.07
Commodities,Aluminum,12w,2022-03-10,99.4,-1.34,6.91,-0.25
Commodities,Aluminum,12w,2022-03-09,99.4,-1.45,8.71,3.61
Commodities,Aluminum,12w,2022-03-08,99.7,-8.06,-0.72,-1.58
Commodities,Aluminum,12w,2022-03-07,99.9,-11.32,-7.36,-8.12
Commodities,Aluminum,12w,2022-03-04,100.0,-11.01,-13.32,-10.5
Commodities,Aluminum,12w,2022-03-03,100.0,-10.79,-11.98,-7.11
Commodities,Aluminum,12w,2022-03-02,100.0,-9.1,-10.42,-1.71
Commodities,Aluminum,12w,2022-03-01,100.0,-0.87,-8.86,-2.4
Commodities,Aluminum,12w,2022-02-28,99.9,9.61,-2.79,4.93
Commodities,Aluminum,12w,2022-02-25,99.9,13.71,1.19,4.86
Commodities,Aluminum,12w,2022-02-24,100.0,8.97,-2.78,3.93
Commodities,Aluminum,12w,2022-02-23,100.0,8.06,-1.77,6.78
Commodities,Aluminum,12w,2022-02-22,99.6,5.21,4.29,3.54
Commodities,Aluminum,12w,2022-02-18,99.5,3.4,13.35,5.0
Commodities,Aluminum,12w,2022-02-17,99.5,2.72,16.81,1.25
Commodities,Aluminum,12w,2022-02-16,99.5,4.14,13.49,-0.11
Commodities,Aluminum,12w,2022-02-15,99.6,2.24,10.48,-1.03
Commodities,Aluminum,12w,2022-02-14,99.7,2.14,7.46,-2.06
Commodities,Aluminum,12w,2022-02-11,100.0,0.68,4.11,1.2
Commodities,Aluminum,12w,2022-02-10,99.9,-0.1,2.62,3.84
Commodities,Aluminum,12w,2022-02-09,99.8,0.21,4.36,1.46
Commodities,Aluminum,12w,2022-02-08,99.6,1.0,3.26,1.43
Commodities,Aluminum,12w,2022-02-07,99.6,3.29,5.5,10.03
Commodities,Aluminum,12w,2022-02-04,99.3,5.39,6.11,20.27
Commodities,Aluminum,12w,2022-02-03,97.7,7.76,7.65,25.75
Commodities,Aluminum,12w,2022-02-02,96.8,9.38,9.61,24.39
Commodities,Aluminum,12w,2022-02-01,97.3,5.29,6.34,17.48
Commodities,Aluminum,12w,2021-10-20,99.7,-12.62,-12.75,-16.41
Commodities,Aluminum,12w,2021-10-19,99.7,-8.66,-12.22,-19.05
Commodities,Aluminum,12w,2021-10-18,99.9,-9.2,-13.31,-18.57
Commodities,Aluminum,12w,2021-10-15,99.9,-8.3,-13.01,-16.58
Commodities,Aluminum,12w,2021-10-14,99.9,-6.23,-10.73,-15.86
Commodities,Aluminum,12w,2021-10-13,99.7,2.3,-10.6,-15.52
Commodities,Aluminum,12w,2021-10-12,100.0,0.95,-7.79,-17.64
Commodities,Aluminum,12w,2021-10-11,100.0,2.92,-6.54,-16.29
Commodities,Aluminum,12w,2021-10-08,98.4,5.31,-3.44,-13.8
Commodities,Aluminum,12w,2021-10-07,97.8,4.66,-1.86,-12.53
Commodities,Aluminum,12w,2021-10-06,95.7,3.29,5.67,-7.8
Commodities,Aluminum,12w,2021-10-05,98.1,4.8,5.79,-7.14
Commodities,Aluminum,12w,2021-10-04,97.8,5.22,8.29,-6.12
Commodities,Aluminum,12w,2021-10-01,97.9,3.76,9.26,-4.95
Commodities,Aluminum,12w,2021-09-30,96.1,3.03,7.84,-3.74
